City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,novouzensk,50.4592,48.1431,28.07,26,19,4.04,RU,1692378048
262,luderitz,-26.6481,15.1594,12.03,86,100,5.87,NA,1692378048
263,zalegoshch',52.9008,36.8869,24.26,55,9,3.29,RU,1692378051
264,terbanggi besar,-4.8667,105.2333,22.79,81,22,3.23,ID,1692378053
265,coyhaique,-45.5752,-72.0662,4.97,70,40,2.57,CL,1692378015
266,seydi,39.4816,62.9137,31.17,15,0,3.92,TM,1692378054
267,villa gesell,-37.2639,-56.973,10.59,77,100,9.59,AR,1692377739
268,rumbek,6.802,29.6912,25.21,70,76,2.16,SS,1692378026
269,ouesso,1.6136,16.0517,23.99,90,80,0.63,CG,1692378055
270,i-n-salah,27.1935,2.4607,41.79,9,3,9.84,DZ,1692378056
271,gangtok,27.3333,88.6167,19.88,95,89,0.87,IN,1692378056
272,san patricio,28.017,-97.5169,36.15,38,4,3.64,US,1692378057
273,aljezur,37.3191,-8.8033,21.02,88,75,3.35,PT,1692378057
274,nemuro,43.3236,145.575,17.61,94,100,1.25,JP,1692378058
275,homer,59.6425,-151.5483,11.0,87,23,2.24,US,1692378059
276,maragogi,-9.0122,-35.2225,25.36,78,96,5.61,BR,1692378059
277,tabuk,17.4189,121.4443,24.35,93,100,1.69,PH,1692378060
278,porto novo,6.4965,2.6036,25.9,86,100,4.72,BJ,1692378060
279,walvis bay,-22.9575,14.5053,17.53,63,0,4.63,NA,1692378060
280,hamilton,39.1834,-84.5333,25.14,54,0,4.12,US,1692377837
281,labytnangi,66.6572,66.4183,16.4,99,100,1.04,RU,1692378061
282,karema,-6.8205,30.4389,25.24,67,6,2.3,TZ,1692378062
283,kenai,60.5544,-151.2583,12.27,90,0,1.54,US,1692378063
284,hancheng,32.5186,112.3522,24.29,93,33,1.44,CN,1692378064
285,chimala,-8.85,34.0167,22.37,41,6,4.29,TZ,1692378065
286,isangel,-19.55,169.2667,19.15,85,5,2.11,VU,1692378066
287,sitka,57.0531,-135.33,13.94,88,100,2.06,US,1692378067
288,bambous,-20.2567,57.4061,21.53,71,10,3.4,MU,1692378067
289,castelli,-25.9468,-60.6195,17.22,84,100,4.87,AR,1692378068
